scenario,Location,Relationship
"<span lang=""EN-GB"">Suppose you have planned to meet a friend next week and you want to put this on your calendar when you are alone at a park<o:p></o:p></span>",3,2
"<span lang=""EN-GB"" style=""font-size:11.0pt;line-height:115%; font-family:""Arial"",sans-serif;mso-fareast-font-family:Arial;mso-ansi-language: EN-GB;mso-fareast-language:EN-US;mso-bidi-language:AR-SA"">Suppose you have planned to meet a friend next week and you want put this on your calendar<span style=""color:#434343""> when you with </span>people you know (e.g., acquaintances, colleagues)<span style=""color:#434343""> at a park</span></span>",3,3
"<span lang=""EN-GB"" style=""font-size:11.0pt;line-height:115%; font-family:""Arial"",sans-serif;mso-fareast-font-family:Arial;mso-ansi-language: EN-GB;mso-fareast-language:EN-US;mso-bidi-language:AR-SA"">Suppose you want to a view a text message when you are alone at home</span>",1,1
"<span lang=""EN-GB"">Suppose you want to a view a text message when you are surrounded with people you are close to (e.g., friends, family members) at your home.<strong><o:p></o:p></strong></span>",1,2
"<span lang=""EN-GB"">Suppose you want to a view a text message when you are surrounded by people you know (e.g., acquaintances, colleagues) at your home.<o:p></o:p></span>",1,3
"<span lang=""EN-GB"">Suppose you want to a view a text message when you are alone at Starbucks.<o:p></o:p></span>",2,1
"<span lang=""EN-GB"">Suppose you want to a view a text message when you are with a very close friend at a restaurant <o:p></o:p></span>",2,2
"<span lang=""EN-GB"">Suppose you want to a view a text message when you are surrounded by people you know (e.g., acquaintances, colleagues) at a restaurant.<o:p></o:p></span>",2,3
"<span lang=""EN-GB"">Suppose you want to a view a text message when you are alone at a street.<o:p></o:p></span>",3,1
"<span lang=""EN-GB"">Suppose you want to a view a text message when you are walking with a very close friend on a street<o:p></o:p></span>",3,2
"<span lang=""EN-GB"">Suppose you want to a view a text message when you with people you know (e.g., acquaintances, colleagues) at a street<strong>.</strong><o:p></o:p></span>",3,3
"<span lang=""EN-GB"">Suppose you want to a send a text message when you are alone at home<strong><o:p></o:p></strong></span>",1,1
"<span lang=""EN-GB"">Suppose you want to a send a text message when you are surrounded with people you are close to (e.g., friends, family members) at your home.<strong><o:p></o:p></strong></span>",1,2
"<span lang=""EN-GB"">Suppose you want to a send a text message when you are surrounded by people you know (e.g., acquaintances, colleagues) at your home.<o:p></o:p></span>",1,3
"<span lang=""EN-GB"">Suppose you want to a send a text message when you are with a very close friend at a restaurant <o:p></o:p></span>",2,2
"<span lang=""EN-GB"">Suppose you want to a send a text message when you are surrounded by people you know (e.g., acquaintances, colleagues) at a restaurant.<o:p></o:p></span>",2,3
"<span lang=""EN-GB"">Suppose you want to a send a text message when you are alone at a street.<o:p></o:p></span>",3,1
"<span lang=""EN-GB"">Suppose you want to a send a text message when you are walking with a very close friend on a street<o:p></o:p></span>",3,2
"<span lang=""EN-GB"">Suppose you want to a send a text message when you with people you know (e.g., acquaintances, colleagues) at a street<strong>.</strong><o:p></o:p></span>",3,3
"<span lang=""EN-GB"" style=""font-size:11.0pt;line-height:115%; font-family:""Arial"",sans-serif;mso-fareast-font-family:Arial;mso-ansi-language: EN-GB;mso-fareast-language:EN-US;mso-bidi-language:AR-SA"">Suppose you want to a send an email when you are alone at home</span>",1,1
"<span lang=""EN-GB"">Suppose you want to a send an email when you are surrounded with people you are close to (e.g., friends, family members) at your home.<strong><o:p></o:p></strong></span>",1,2
"<span lang=""EN-GB"">Suppose you want to a send an email when you are surrounded by people you know (e.g., acquaintances, colleagues) your home.<o:p></o:p></span>",1,3
"<span lang=""EN-GB"" style=""font-size:11.0pt;line-height:115%; font-family:""Arial"",sans-serif;mso-fareast-font-family:Arial;mso-ansi-language: EN-GB;mso-fareast-language:EN-US;mso-bidi-language:AR-SA"">Suppose you want to a send an email when you are at Starbucks.</span>",2,1
"<span lang=""EN-GB"">Suppose you want to a send an email when you are with a very close friend at a restaurant <o:p></o:p></span>",2,2
"<span lang=""EN-GB"">Suppose      you want to a send an email when you are surrounded by people you know      (e.g., acquaintances, colleagues) at a restaurant.<o:p></o:p></span>",2,3
"<span lang=""EN-GB"">Suppose you want to a send an email when you are walking on a street.<o:p></o:p></span>",3,1
"<span lang=""EN-GB"">Suppose you want to a send an email when you are walking on a street with people you know (e.g., acquaintances, colleagues)<strong>.</strong><o:p></o:p></span>",3,3
"<span lang=""EN-GB"" style=""font-size:11.0pt;line-height:115%; font-family:""Arial"",sans-serif;mso-fareast-font-family:Arial;mso-ansi-language: EN-GB;mso-fareast-language:EN-US;mso-bidi-language:AR-SA"">Suppose you want to browse the internet when you are alone at your home.</span>",1,1
"<span lang=""EN-GB"">Suppose you want to browse the internet when you are at home with people you are close to (e.g., friends, family members)<strong><o:p></o:p></strong></span>",1,2
"<span lang=""EN-GB"">Suppose you want to browse the internet when you are at home with people you know (e.g., acquaintances, colleagues).<o:p></o:p></span>",1,3
"<span lang=""EN-GB"">Suppose you want to browse the internet when you are alone at a restaurant.<o:p></o:p></span>",2,1
"<span lang=""EN-GB"">Suppose you want to browse internet when you are with your close friends at a restaurant.<o:p></o:p></span>",2,2
"<span lang=""EN-GB"">Suppose you want to browse the internet when you are with people you know (e.g., acquaintances, colleagues) at a restaurant.<o:p></o:p></span>",2,3
"<span lang=""EN-GB"">Suppose you want to browse the internet when you alone at a park.<o:p></o:p></span>",3,1
"<span lang=""EN-GB"">Suppose you want to browse the internet when you are with your close friends at a park.<o:p></o:p></span>",3,2
"<span lang=""EN-GB"">Suppose you want to browse the internet when you are with people you know (e.g., acquaintances, colleagues) at a park.<o:p></o:p></span>",3,3
"<span lang=""EN-GB"">Suppose you want to set up a reminder when you are alone at your home.<strong><o:p></o:p></strong></span>",1,1
"<span lang=""EN-GB"">Suppose you want to set up a reminder when you are at home with people you are close to (e.g., friends, family members).<strong><o:p></o:p></strong></span>",1,2
"<span lang=""EN-GB"">Suppose you want to set up a reminder when you are with people you know (e.g., acquaintances, colleagues) at your home.<o:p></o:p></span>",1,3
"<span lang=""EN-GB"">Suppose you want to set up a reminder about something when you are at Starbucks by yourself.<o:p></o:p></span>",2,1
"<span lang=""EN-GB"">Suppose you want to set up a reminder about something when you are at Starbucks with close friends.<o:p></o:p></span>",2,2
"<span lang=""EN-GB"">Suppose you want to set up a reminder about something when you are with people you know (e.g., acquaintances, colleagues) at Starbucks.<o:p></o:p></span>",2,3
"<span lang=""EN-GB"">Suppose you want to set up a reminder when you are at a park by yourself.<o:p></o:p></span>",3,1
"<span lang=""EN-GB"">Suppose you want to set up a reminder when you are at a park with close friends.<o:p></o:p></span>",3,2
"<span lang=""EN-GB"">Suppose you want to set up a reminder when you with people you know (e.g., acquaintances, colleagues) at a park.<o:p></o:p></span>",3,3
"<span lang=""EN-GB"">Suppose you want to listen to some audio when you are alone at your home.<strong><o:p></o:p></strong></span>",1,1
"<span lang=""EN-GB"">Suppose you want to listen to some audio when you are at home with people you are  close to (e.g., friends, family members).<strong><o:p></o:p></strong></span>",1,2
"<span lang=""EN-GB"">Suppose you want to listen to some audio when you are with people you know (e.g., acquaintances, colleagues) at your home.<o:p></o:p></span>",1,3
"<span lang=""EN-GB"">Suppose you want to listen to some audio when you are alone at Starbucks.<o:p></o:p></span>",2,1
"<span lang=""EN-GB"">Suppose you want to listen to some audio when you are with your friends at Starbucks.<o:p></o:p></span>",2,2
"<span lang=""EN-GB"">Suppose you want to listen to some audio when you with people you know (e.g., acquaintances, colleagues) at Starbucks<o:p></o:p></span>",2,3
"<span lang=""EN-GB"">Suppose you want to listen to some audio when you are alone in a park.<o:p></o:p></span>",3,1
"<span lang=""EN-GB"">Suppose you want to listen to some audio when you are with your close friends in a park.<o:p></o:p></span>",3,2
"<span lang=""EN-GB"">Suppose you want to listen to some audio when you are with people you know (e.g., acquaintances, colleagues) in a park.<o:p></o:p></span> <p><span lang=""EN-GB"" style=""color:red""> </span></p>",3,3
"<span lang=""EN-GB"">Suppose you want to watch some video when you are alone at your home.<strong><o:p></o:p></strong></span>",1,1
"<span lang=""EN-GB"">Suppose you want to watch some video when you are at home with people you are close to (e.g., friends, family members)<strong><o:p></o:p></strong></span>",1,2
"<span lang=""EN-GB"">Suppose you want to watch some video when you are with people you know (e.g., acquaintances, colleagues) at your home.<o:p></o:p></span>",1,3
"<span lang=""EN-GB"">Suppose you want to watch some video when you are alone at Starbucks.<o:p></o:p></span>",2,1
"<span lang=""EN-GB"">Suppose you want to watch some video when you are with your close friends at Starbucks.<o:p></o:p></span>",2,2
"<span lang=""EN-GB"">Suppose you want to watch some video when you are alone in a park.<o:p></o:p></span>",3,1
"<span lang=""EN-GB"">Suppose you want to watch some video when you are with your close friends in a  park.<o:p></o:p></span>",3,2
"<span lang=""EN-GB"">Suppose you want to watch some video when you are with people you know (e.g., acquaintances, colleagues) in a park.<o:p></o:p></span>",3,3
"<span lang=""EN-GB"" style=""font-size:11.0pt;line-height:115%; font-family:""Arial"",sans-serif;mso-fareast-font-family:Arial;mso-ansi-language: EN-GB;mso-fareast-language:EN-US;mso-bidi-language:AR-SA"">Suppose you want to find a route to a coffee shop when you are alone at home.</span>",1,1
"<span lang=""EN-GB"">Suppose you want to find a route to a coffee shop when you are at home </span><span lang=""EN-GB"">with people you are close to (e.g., friends, family members)</span><strong><span lang=""EN-GB""><o:p></o:p></span></strong>",1,2
Suppose you want to find a route to a coffee shop when you are at home with your by your colleagues<o:p></o:p>,1,3
"<span lang=""EN-GB"">Suppose you want to find a route to home when you are alone at Starbucks.<o:p></o:p></span>",2,1
"<span lang=""EN-GB"">Suppose you want to find a route to home when you are at Starbucks with your close friends.<o:p></o:p></span>",2,2
"<span lang=""EN-GB"">Suppose you want to find a route to home when you are at Starbucks with people you know (e.g., acquaintances, colleagues).<o:p></o:p></span>",2,3
"<span lang=""EN-GB"">Suppose you want to find a route to home while walking on a street.<o:p></o:p></span>",3,1
"<span lang=""EN-GB"">Suppose you want to find a route to home while walking on a street with your close friends.<o:p></o:p></span>",3,2
"<span lang=""EN-GB"">Suppose you want to find a route to home while walking on a street with people you know (e.g., acquaintances, colleagues).<o:p></o:p></span>",3,3
"<span lang=""EN-GB"">Suppose you want to read a digital document when you are alone at home.<strong><o:p></o:p></strong></span>",1,1
"<span lang=""EN-GB"">Suppose you want to read a digital document when you are at home with people you are close to (e.g., friends, family members).<strong><o:p></o:p></strong></span>",1,2
"<span lang=""EN-GB"">Suppose you want to read a digital document) when you are at home with people you know (e.g., acquaintances, colleagues).<o:p></o:p></span>",1,3
"<span lang=""EN-GB"">Suppose you want to read a digital document when you are at Starbucks.<o:p></o:p></span>",2,1
"<span lang=""EN-GB"" style=""font-size:11.0pt;line-height:115%; font-family:""Arial"",sans-serif;mso-fareast-font-family:Arial;mso-ansi-language: EN-GB;mso-fareast-language:EN-US;mso-bidi-language:AR-SA"">Suppose you want to read a digital document when you are at Starbucks surrounded with your close friends.</span>",2,2
"<span lang=""EN-GB"">Suppose you want to read a digital document when you are at Starbucks with people you know (e.g., acquaintances, colleagues).<o:p></o:p></span>",2,3
"<span lang=""EN-GB"">Suppose you want to read a digital document when you are at a park.<o:p></o:p></span>",3,1
"<span lang=""EN-GB"">Suppose you want to read a digital document when you are in a park surrounded by your close friends.<o:p></o:p></span>",3,2
"<span lang=""EN-GB"">Suppose you want to read a digital document when you are in a park with people you know (e.g., acquaintances, colleagues).<o:p></o:p></span>",3,3
"<span lang=""EN-GB"">Suppose you are alone and relaxing at home, you have just read a new book that </span>you loved and now you want a write a review for your close family and friends.",1,1
"<span lang=""EN-GB"">Suppose you are at a coffee shop, you have just read a book you loved and now </span>you want to write a review for it to share with your close family and friends.",2,1
"<span lang=""EN-GB"">Suppose you are at a park, you have just read a book you loved and now you </span>want to write a review for it to share with people you are close to (e.g., friends, family members)",3,1
"<span lang=""EN-GB"">Suppose you want to control some devices/appliances (e.g., smart lights) when you are at home with people you are close to (e.g., friends, family members)<strong><o:p></o:p></strong></span>",1,2
"<span lang=""EN-GB"">Suppose you want to control some devices/appliances (e.g., smart lights) when you are alone at home.<o:p></o:p></span>",1,1
"<span lang=""EN-GB"">Suppose you want to purchase something online when you are alone at your home.<o:p></o:p></span>",1,1
"<span lang=""EN-GB"">Suppose you want to purchase something online when you are with people you are close to (e.g., friends, family members) at home.<o:p></o:p></span>",1,2
"<span lang=""EN-GB"">Suppose you want to purchase something online when you are with people you know (e.g., acquaintances, colleagues) at your home.<o:p></o:p></span>",1,3
"<span lang=""EN-GB"">Suppose you want to purchase something online when you are alone at Starbucks.<o:p></o:p></span>",2,1
"Suppose you want to purchase something (e.g., book, household items) online when you are with people you know (e.g., acquaintances, colleagues) at Starbucks.<o:p></o:p>",2,3
"<span lang=""EN-GB"">Suppose you want to purchase something online when you are alone at a park.<o:p></o:p></span>",3,1
"<span lang=""EN-GB"">Suppose you want to purchase something (e.g., book, household items) online when you are with your close friends at a park.<o:p></o:p></span>",3,2
"Suppose you want to purchase something online when you are with people you know (e.g., acquaintances, colleagues) at a park.<o:p></o:p>",3,3
"<span lang=""EN-GB"">Suppose you want to browse through one of your social media profiles when you </span>are at your home.",1,1
"<span lang=""EN-GB"" style=""font-size:11.0pt;line-height:115%; font-family:""Arial"",sans-serif;mso-fareast-font-family:Arial;mso-ansi-language: EN-GB;mso-fareast-language:EN-US;mso-bidi-language:AR-SA"">Suppose you want to check your social media when you are alone in a park.</span>",3,1
"<span lang=""EN-GB"">Suppose you are alone at home when you realize today is the last day to pay one of your bills online.<o:p></o:p></span>",1,1
"<span lang=""EN-GB"">Suppose you are at home with people you are close to (e.g., friends, family members) when you realize today is the last day to pay one of your bills online.<o:p></o:p></span>",1,2
"<span lang=""EN-GB"">Suppose you are at home with some people you know (e.g., acquaintances, colleagues) when you realize today is the last day to pay one of your bills online.<o:p></o:p></span>",1,3
"<span lang=""EN-GB"">Suppose you are at starbucks and you realize today is the last day to pay one of your bills online.<o:p></o:p></span>",2,1
"<span lang=""EN-GB"">Suppose you are at Starbucks with your close friends and you realize today is the last day to pay one of your bills online.<o:p></o:p></span>",2,2
"<span lang=""EN-GB"">Suppose you are at work with some people you know (e.g., acquaintances, colleagues) when you realize that you have to immediately pay one of your bills online.<o:p></o:p></span>",2,3
"<span lang=""EN-GB"">Suppose you are at a park and you realize today is the last day to pay one of your bills online.<o:p></o:p></span>",3,1
"<span lang=""EN-GB"">Suppose you are at a park with some people you know (e.g., acquaintances, colleagues) when you realize that you have to immediately pay one of your bills online.<o:p></o:p></span>",3,3
"<span lang=""EN-GB"">Suppose you want to take a click a photo when you are alone at home.<o:p></o:p></span>",1,1
"<span lang=""EN-GB"">Suppose you want to take a click a photo when you are with people you are close to (e.g., friends, family members) at home<o:p></o:p></span>",1,2
"<span lang=""EN-GB"">Suppose you want to take a click a photo when you with </span><span lang=""EN-GB"">some people you know (e.g., acquaintances, colleagues)</span><span lang=""EN-GB""> at home<o:p></o:p></span>",1,3
"<span lang=""EN-GB"" style=""font-size:11.0pt;line-height:115%; font-family:""Arial"",sans-serif;mso-fareast-font-family:Arial;mso-ansi-language: EN-GB;mso-fareast-language:EN-US;mso-bidi-language:AR-SA"">Suppose you want to take a click a photo when you are at Starbucks.</span>",2,1
"<span lang=""EN-GB"">Suppose you want to take a click a photo when you are with your close friends </span>and family members at Starbucks",2,2
"<span lang=""EN-GB"">Suppose you are on a short vacation and you want to take a picture in front </span>of an iconic monument when you are surrounded by many people.",3,1
"<span lang=""EN-GB"">Suppose you are on a short vacation alone and you want to take a picture in front </span>of an iconic monument.",3,1
"<span lang=""EN-GB"">Suppose you are alone at home, you want to take a break from studying/working </span>so you decide to play an online/digital game.",1,1
"<span lang=""EN-GB"">Suppose you are alone at home, you want to take a break from studying/working </span>so you decide to play an online/digital game with some close friends .",1,2
"Suppose you are alone at home, you want to take a break from studying/working <p>so you decide to play a video game with some with some people you know (e.g., acquaintances, colleagues).<o:p></o:p></p>",1,3
"<span lang=""EN-GB"">Suppose you are at sitting at Starbucks and you want to play a digital/online </span>game.",2,1
"<span lang=""EN-GB"">Suppose you are at sitting at Starbucks and you want to play a digital/online </span>game with some close friends.",2,2
"<span lang=""EN-GB"">Suppose you are at sitting in a park and you want to play a digital/online game.<o:p></o:p></span>",3,1
"<span lang=""EN-GB"">Suppose you are at sitting in a park and you want to play a digital/online game </span>with some close friends.",3,2
"<span lang=""EN-GB"">Suppose you are at your gym and you want to track the amount of calories </span>you have burnt your workout.",2,1
"<span lang=""EN-GB"">Suppose it is a regular working day, you want to track the total amount of calories </span>you consume and burn off during the day.",1,1
"<span style=""color: rgb(0, 0, 0); font-family: Times; font-size: 16px;"">Suppose you want control some devices/appliances (e.g., smart lights) when you are with people you know (e.g., acquaintances, colleagues).</span>",1,3
"Suppose you want to watch some video when you are with people you know (e.g., acquaintances, colleagues) at Starbucks",2,3
Suppose you are at a park with your close friends and you realize today is the last day to pay one of your bills online.,3,2
"Suppose you want to call your mother for sharing an important update about your life when you are surrounded with people you are close to (e.g., friends, family members)at your home.",1,2
Suppose you want to check your social media status when you are at Starbucks.,2,1
Suppose you want to purchase something online when you are with your close friends at Starbucks.,2,2
Suppose you want to a send a text message when you are alone at Starbucks.,2,1
Suppose you want to a send an email when you are walking with a very close friend on a street.,3,2
