,features,Importance,scen_feat,main_features,Affordance_Question,Affordance_Answer,scen_Question,scen_Answer
20,location_1:Smart_Speaker_Q8_feat5,70.72000000000001,location_1,Smart_Speaker_Q8_feat5,What level of personalized communication does your Smart_Speaker provide while performing this task?,Personalization is not essential to me in using this device to perform this task or is not provided by the device  ,Scenario location,Home
225,Relationship_3:Smart_Speaker_Q13_feat4,70.72000000000001,Relationship_3,Smart_Speaker_Q13_feat4,Which of the additional artifacts do you connect/download on your Smart_Speaker,The ability to connect/download an additional things does not matter to me while using the device  for this task or is not provided by the device  ,Scenario relation,weak ties
19,location_1:Smart_Speaker_Q8_feat1,70.72000000000001,location_1,Smart_Speaker_Q8_feat1,What level of personalized communication does your Smart_Speaker provide while performing this task?,The device communicates with me through informal/human-like responses or notifications,Scenario location,Home
115,Relationship_1:Smart_Speaker_Q12_feat5,70.72000000000001,Relationship_1,Smart_Speaker_Q12_feat5,Which of these maintenance features in Smart_Speaker affect you as you perform this task on it?,I do not consider/evaluate maintenance features as I use this device for this task or is not provided by the device  ,Scenario relation,alone
224,Relationship_3:Smart_Speaker_Q10_feat2,70.72000000000001,Relationship_3,Smart_Speaker_Q10_feat2,How does Smart_Speaker provide feedback or respond to your actions as you execute the task?,Through audio/voice based notifications/responses,Scenario relation,weak ties
120,Relationship_1:Smart_Speaker_Q2_feat5,66.3,Relationship_1,Smart_Speaker_Q2_feat5,"How do you multitask (i.e.,use other functionalities) on Smart_Speaker while executing this task?",Being able to do something else simultaneously on the device does not matter to me  for this task or is not provided by the device  ,Scenario relation,alone
21,location_1:Q1_feat1,64.89580693815985,location_1,Q1_feat1,Which of the following type of interactions would you like to use to perform this task?,Voice-based interaction  ,Scenario location,Home
22,location_1:Q12_feat5,64.16495649147232,location_1,Q12_feat5,Which of these maintenance features affect your decision to use any of the device(s) to perform this task?,vThe maintenance features do not matter to me  for this task.,Scenario location,Home
23,location_1:Q11_feat3,62.9462443438914,location_1,Q11_feat3,Which of the following design features would help you develop an intuition before you decide how to complete this task on any of the  device(s)?,"In case of no screen, the device(s) should provide me needed information as voice-based instructions",Scenario location,Home
119,Relationship_1:Smart_Speaker_Q7_feat5,61.88,Relationship_1,Smart_Speaker_Q7_feat5,Which of the following features help you in reaching the desired level of trust to perform this task on Smart_Speaker?,Building trust is not essential for using this device for this task or is not provided by the device ,Scenario relation,alone
24,location_1:Smart_Speaker_Q10_feat4,61.88,location_1,Smart_Speaker_Q10_feat4,How does Smart_Speaker provide feedback or respond to your actions as you execute the task,Notifications/Reminders on other synced/connected devices  ,Scenario location,Home
227,Relationship_3:Smart_Speaker_Q12_feat5,61.88,Relationship_3,Smart_Speaker_Q12_feat5,Which of these maintenance features in Smart_Speaker affect you as you perform this task on it?,I do not consider/evaluate maintenance features as I use this device for this task or is not provided by the device  ,Scenario relation,weak ties
226,Relationship_3:Smart_Speaker_Q1_feat1,57.46000000000001,Relationship_3,Smart_Speaker_Q1_feat1,Which of the following type of interactions do you use while executing a command on Smart_Speaker,Voice-based interaction  ,Scenario relation,weak ties
229,Relationship_3:Smart_Speaker_Q3_feat4,57.46000000000001,Relationship_3,Smart_Speaker_Q3_feat4,Which  aspects of Smart_Speaker makes it easy for you to use it for this task?,I can hear any task related information as an audio response from the device  ,Scenario relation,weak ties
122,Relationship_1:Smart_Speaker_Q6_feat2,57.46000000000001,Relationship_1,Smart_Speaker_Q6_feat2,When does your Smart_Speaker give you an option of providing or changing any task related information to perform this task?,The device prompts me to provide additional information when any instructions are unclear or missing.,Scenario relation,alone
121,Relationship_1:Smart_Speaker_Q5_feat3,57.46000000000001,Relationship_1,Smart_Speaker_Q5_feat3,What level of accuracy does your Smart_Speaker provide when executing the task?,"The device makes some errors, but it tries to correct itself by learning from my previous actions or more interactions with me.  ",Scenario relation,alone
230,Relationship_3:Smart_Speaker_Q11_feat3,57.46000000000001,Relationship_3,Smart_Speaker_Q11_feat3,Which of the following design components on your Smart_Speaker help you to develop an intuition before you decide how to complete this task,As the device does not have a screen it provides me relevant information through voice-based instructions  ,Scenario relation,weak ties
25,location_1:Q9_feat4,55.03059185520362,location_1,Q9_feat4,Which of the following do you expect to have in any of your device(s) to help you understand the features as you use them to perform this task?,A voice assistant that can help me in understanding how to use appropriate features to perform the task  ,Scenario location,Home
232,Relationship_3:Smart_Speaker_Q2_feat5,53.03999999999999,Relationship_3,Smart_Speaker_Q2_feat5,"How do you multitask (i.e.,use other functionalities) on Smart_Speaker while executing this task?",Being able to do something else simultaneously on the device does not matter to me  for this task or is not provided by the device  ,Scenario relation,weak ties
234,Relationship_3:Smart_Speaker_Q6_feat2,53.03999999999999,Relationship_3,Smart_Speaker_Q6_feat2,When does your Smart_Speaker give you an option of providing or changing any task related information to perform this task?,The device prompts me to provide additional information when any instructions are unclear or missing.,Scenario relation,weak ties
235,Relationship_3:Smart_Speaker_Q6_feat1,53.03999999999999,Relationship_3,Smart_Speaker_Q6_feat1,When does your Smart_Speaker give you an option of providing or changing any task related information to perform this task?,Only at the beginning for providing first set of commands or information for performing the task,Scenario relation,weak ties
338,Relationship_2:Smart_Speaker_Q1_feat1,53.03999999999999,Relationship_2,Smart_Speaker_Q1_feat1,Which of the following type of interactions do you use while executing a command on Smart_Speaker,Voice-based interaction  ,Scenario relation,strong ties
340,Relationship_2:Smart_Speaker_Q9_feat4,53.03999999999999,Relationship_2,Smart_Speaker_Q9_feat4,How does your Smart_Speaker help you understand the features that you use to perform this task,Through a voice assistant that helps me to understand how to use its features to perform the task ,Scenario relation,strong ties
228,Relationship_3:Smart_Speaker_Q9_feat4,53.03999999999999,Relationship_3,Smart_Speaker_Q9_feat4,How does your Smart_Speaker help you understand the features that you use to perform this task,Through a voice assistant that helps me to understand how to use its features to perform the task ,Scenario relation,weak ties
336,Relationship_2:Smart_Speaker_Q10_feat2,53.03999999999999,Relationship_2,Smart_Speaker_Q10_feat2,How does Smart_Speaker provide feedback or respond to your actions as you execute the task?,Through audio/voice based notifications/responses,Scenario relation,strong ties
26,location_1:Q10_feat3,52.453345673933896,location_1,Q10_feat3,How would you expect any of your  device(s)  to provide feedback or respond to your actions as you perform this task?,Through text notifications/responses on screen of any of the devices,Scenario location,Home
231,Relationship_3:Smart_Speaker_Q7_feat5,48.62000000000001,Relationship_3,Smart_Speaker_Q7_feat5,Which of the following features help you in reaching the desired level of trust to perform this task on Smart_Speaker?,Building trust is not essential for using this device for this task or is not provided by the device ,Scenario relation,weak ties
123,Relationship_1:Smart_Speaker_Q6_feat1,48.62000000000001,Relationship_1,Smart_Speaker_Q6_feat1,When does your Smart_Speaker give you an option of providing or changing any task related information to perform this task?,Only at the beginning for providing first set of commands or information for performing the task,Scenario relation,alone
27,location_1:Smart_Speaker_Q7_feat3,48.62000000000001,location_1,Smart_Speaker_Q7_feat3,Which of the following features help you in reaching the desired level of trust to perform this task on Smart_Speaker?,I enables me to control how it executes this task  ,Scenario location,Home
345,Relationship_2:Smart_Speaker_Q5_feat3,48.62000000000001,Relationship_2,Smart_Speaker_Q5_feat3,What level of accuracy does your Smart_Speaker provide when executing the task?,"The device makes some errors, but it tries to correct itself by learning from my previous actions or more interactions with me.  ",Scenario relation,strong ties
339,Relationship_2:Smart_Speaker_Q12_feat5,48.62000000000001,Relationship_2,Smart_Speaker_Q12_feat5,Which of these maintenance features in Smart_Speaker affect you as you perform this task on it?,I do not consider/evaluate maintenance features as I use this device for this task or is not provided by the device  ,Scenario relation,strong ties
28,location_1:Q11_feat2,47.63239819004525,location_1,Q11_feat2,Which of the following design features would help you develop an intuition before you decide how to complete this task on any of the  device(s)?,"Icons, buttons and other tools should be designed in such a way that I can easily understand their purpose and how to use them",Scenario location,Home
29,location_1:Q7_feat5,47.62550390785685,location_1,Q7_feat5,Which of the following features would help you in developing trust on any of your device(s) to be able to perform this task on it ? ,Building trust is not essential for me while performing this task on any device  ,Scenario location,Home
30,location_1:Q9_feat3,46.637512726244346,location_1,Q9_feat3,Which of the following do you expect to have in any of your device(s) to help you understand the features as you use them to perform this task?,A graphic icon that conveys the meaning of a widget on the device   ,Scenario location,Home
31,location_1:Q6_feat1,44.31342907731655,location_1,Q6_feat1,When would you desire to have an option of providing or changing any task related information on any of your device(s) while performing this task?,Only at the beginning for providing first set of commands or information  ,Scenario location,Home
233,Relationship_3:Smart_Speaker_Q5_feat3,44.2,Relationship_3,Smart_Speaker_Q5_feat3,What level of accuracy does your Smart_Speaker provide when executing the task?,"The device makes some errors, but it tries to correct itself by learning from my previous actions or more interactions with me.  ",Scenario relation,weak ties
341,Relationship_2:Smart_Speaker_Q3_feat4,44.2,Relationship_2,Smart_Speaker_Q3_feat4,Which  aspects of Smart_Speaker makes it easy for you to use it for this task?,I can hear any task related information as an audio response from the device  ,Scenario relation,strong ties
337,Relationship_2:Smart_Speaker_Q13_feat4,44.2,Relationship_2,Smart_Speaker_Q13_feat4,Which of the additional artifacts do you connect/download on your Smart_Speaker,The ability to connect/download an additional things does not matter to me while using the device  for this task or is not provided by the device  ,Scenario relation,strong ties
238,Relationship_3:Smart_Speaker_Q8_feat2,44.2,Relationship_3,Smart_Speaker_Q8_feat2,What level of personalized communication does your Smart_Speaker provide while performing this task?,"It customizes the features based on my current context and past interactions (e.g., sorting notifications by relevance)  ",Scenario relation,weak ties
136,Relationship_1:Smart_Speaker_Q10_feat4,44.2,Relationship_1,Smart_Speaker_Q10_feat4,How does Smart_Speaker provide feedback or respond to your actions as you execute the task,Notifications/Reminders on other synced/connected devices  ,Scenario relation,alone
124,Relationship_1:Smart_Speaker_Q4_feat3,44.2,Relationship_1,Smart_Speaker_Q4_feat3,Which aspects of mobility does Smart_Speaker  provide as you perform this task?,Mobility of this device does not matter to me  for this task or is not provided by the device,Scenario relation,alone
32,location_1:Q3_feat4,39.939390123942545,location_1,Q3_feat4,Which aspects of any of the device(s) would make it easier for you to use them for this task?,The device(s) should be able to provide any task related information as an audio response. ,Scenario location,Home
33,location_1:Q3_feat2,39.83500992299754,location_1,Q3_feat2,Which aspects of any of the device(s) would make it easier for you to use them for this task?,The device(s) should provide few and simple steps to complete the task.,Scenario location,Home
342,Relationship_2:Smart_Speaker_Q11_feat3,39.78,Relationship_2,Smart_Speaker_Q11_feat3,Which of the following design components on your Smart_Speaker help you to develop an intuition before you decide how to complete this task,As the device does not have a screen it provides me relevant information through voice-based instructions  ,Scenario relation,strong ties
125,Relationship_1:Smart_Speaker_Q4_feat1,39.78,Relationship_1,Smart_Speaker_Q4_feat1,Which aspects of mobility does Smart_Speaker  provide as you perform this task?,I can move around while performing the task   ,Scenario relation,alone
34,location_1:Smart_Speaker_Q2_feat2,39.78,location_1,Smart_Speaker_Q2_feat2,"How do you multitask (i.e.,use other functionalities) on Smart_Speaker while executing this task?",I use/view another application using voice-based input ,Scenario location,Home
236,Relationship_3:Smart_Speaker_Q4_feat3,39.78,Relationship_3,Smart_Speaker_Q4_feat3,Which aspects of mobility does Smart_Speaker  provide as you perform this task?,Mobility of this device does not matter to me  for this task or is not provided by the device,Scenario relation,weak ties
237,Relationship_3:Smart_Speaker_Q4_feat1,39.78,Relationship_3,Smart_Speaker_Q4_feat1,Which aspects of mobility does Smart_Speaker  provide as you perform this task?,I can move around while performing the task   ,Scenario relation,weak ties
343,Relationship_2:Smart_Speaker_Q7_feat5,39.78,Relationship_2,Smart_Speaker_Q7_feat5,Which of the following features help you in reaching the desired level of trust to perform this task on Smart_Speaker?,Building trust is not essential for using this device for this task or is not provided by the device ,Scenario relation,strong ties
35,location_1:Q1_feat2,39.614122674710906,location_1,Q1_feat2,Which of the following type of interactions would you like to use to perform this task?,"Touch-based interaction (e.g, through scrolling, tapping)  ",Scenario location,Home
36,location_1:Q8_feat2,39.397255557741495,location_1,Q8_feat2,What sort of personalization or customizability do you expect to have from any your device(s) while performing this task?,"Customizability of features based on current context and past interactions (e.g., sorting notifications by relevance)   ",Scenario location,Home
135,Relationship_1:Q11_feat3,37.767746606334846,Relationship_1,Q11_feat3,Which of the following design features would help you develop an intuition before you decide how to complete this task on any of the  device(s)?,"In case of no screen, the device(s) should provide me needed information as voice-based instructions",Scenario relation,alone
38,location_1:Smart_Speaker_Q11_feat1,35.36000000000001,location_1,Smart_Speaker_Q11_feat1,Which of the following design components on your Smart_Speaker help you to develop an intuition before you decide how to complete this task?,"Information is presented in an optimized and adaptive manner so as to reduce the cognitive burden on me (e.g., by changing the layout of the menu according to how often menu items are used)    ",Scenario location,Home
131,Relationship_1:Smart_Speaker_Q8_feat1,35.36000000000001,Relationship_1,Smart_Speaker_Q8_feat1,What level of personalized communication does your Smart_Speaker provide while performing this task?,The device communicates with me through informal/human-like responses or notifications,Scenario relation,alone
130,Relationship_1:Smart_Speaker_Q5_feat2,35.36000000000001,Relationship_1,Smart_Speaker_Q5_feat2,What level of accuracy do you expect any of the device(s) to achieve for executing this task?,The device(s) can make errors sometimes  ,Scenario relation,alone
128,Relationship_1:Smart_Speaker_Q5_feat4,35.36000000000001,Relationship_1,Smart_Speaker_Q5_feat4,What level of accuracy does your Smart_Speaker provide when executing the task,"The device makes some errors only when multitasking (e.g., while listening to music on voice-assistant it might not completely understand another command)  ",Scenario relation,alone
346,Relationship_2:Smart_Speaker_Q6_feat2,35.36000000000001,Relationship_2,Smart_Speaker_Q6_feat2,When does your Smart_Speaker give you an option of providing or changing any task related information to perform this task?,The device prompts me to provide additional information when any instructions are unclear or missing.,Scenario relation,strong ties
37,location_1:Smart_Speaker_Q5_feat1,35.36000000000001,location_1,Smart_Speaker_Q5_feat1,What level of accuracy does your Smart_Speaker provide when executing the task?,It executes the task without any errors   ,Scenario location,Home
39,location_1:Q2_feat5,35.08552878038515,location_1,Q2_feat5,"How would you like to multitask (i.e., use/view other applications) on any device of your choice while executing this task?",I would not like to multitask while performing this tas,Scenario location,Home
40,location_1:Q11_feat1,34.30974111712781,location_1,Q11_feat1,Which of the following design features would help you develop an intuition before you decide how to complete this task on any of the  device(s)?,"Presentation of information is in an optimized and adaptive manner so as to reduce the cognitive burden on me (e.g., by changing the layout of the menu according to how often menu items are used )  ",Scenario location,Home
41,location_1:Q5_feat1,32.33431875314228,location_1,Q5_feat1,What level of accuracy do you expect any of the device(s) to achieve for executing this task?,It should be able to execute the task without any errors   ,Scenario location,Home
42,location_1:Q6_feat2,30.951074660633477,location_1,Q6_feat2,When would you desire to have an option of providing or changing any task related information on any of your device(s) while performing this task?,Device(s) should prompt me for providing more information when instructions are unclear or missing.  ,Scenario location,Home
132,Relationship_1:Smart_Speaker_Q8_feat5,30.94,Relationship_1,Smart_Speaker_Q8_feat5,What level of personalized communication does your Smart_Speaker provide while performing this task?,Personalization is not essential to me in using this device to perform this task or is not provided by the device  ,Scenario relation,alone
43,location_1:Smart_Speaker_Q6_feat3,30.94,location_1,Smart_Speaker_Q6_feat3,When does your Smart_Speaker give you an option of providing or changing any task related information to perform this task?,The device prompts me for input and validation throughout the entire execution of task.,Scenario location,Home
126,Relationship_1:Smart_Speaker_Q8_feat2,30.94,Relationship_1,Smart_Speaker_Q8_feat2,What level of personalized communication does your Smart_Speaker provide while performing this task?,"It customizes the features based on my current context and past interactions (e.g., sorting notifications by relevance)  ",Scenario relation,alone
243,Relationship_3:Smart_Speaker_Q8_feat1,30.94,Relationship_3,Smart_Speaker_Q8_feat1,What level of personalized communication does your Smart_Speaker provide while performing this task?,The device communicates with me through informal/human-like responses or notifications,Scenario relation,weak ties
44,location_1:Smart_Speaker_Q3_feat2,30.94,location_1,Smart_Speaker_Q3_feat2,Which  aspects of Smart_Speaker makes it easy for you to use it for this task?,The device provides few and simple steps to complete the task  ,Scenario location,Home
242,Relationship_3:Smart_Speaker_Q5_feat2,30.94,Relationship_3,Smart_Speaker_Q5_feat2,What level of accuracy do you expect any of the device(s) to achieve for executing this task?,The device(s) can make errors sometimes  ,Scenario relation,weak ties
352,Relationship_2:Smart_Speaker_Q5_feat4,30.94,Relationship_2,Smart_Speaker_Q5_feat4,What level of accuracy does your Smart_Speaker provide when executing the task,"The device makes some errors only when multitasking (e.g., while listening to music on voice-assistant it might not completely understand another command)  ",Scenario relation,strong ties
349,Relationship_2:Smart_Speaker_Q4_feat1,30.94,Relationship_2,Smart_Speaker_Q4_feat1,Which aspects of mobility does Smart_Speaker  provide as you perform this task?,I can move around while performing the task   ,Scenario relation,strong ties
240,Relationship_3:Smart_Speaker_Q5_feat4,30.94,Relationship_3,Smart_Speaker_Q5_feat4,What level of accuracy does your Smart_Speaker provide when executing the task,"The device makes some errors only when multitasking (e.g., while listening to music on voice-assistant it might not completely understand another command)  ",Scenario relation,weak ties
45,location_1:Q1_feat5,30.82235520361991,location_1,Q1_feat5,Which of the following type of interactions would you like to use to perform this task?,Text-based interaction using virtual/digital keyboard on a screen ,Scenario location,Home
350,Relationship_2:Smart_Speaker_Q8_feat2,26.52,Relationship_2,Smart_Speaker_Q8_feat2,What level of personalized communication does your Smart_Speaker provide while performing this task?,"It customizes the features based on my current context and past interactions (e.g., sorting notifications by relevance)  ",Scenario relation,strong ties
244,Relationship_3:Smart_Speaker_Q8_feat5,26.52,Relationship_3,Smart_Speaker_Q8_feat5,What level of personalized communication does your Smart_Speaker provide while performing this task?,Personalization is not essential to me in using this device to perform this task or is not provided by the device  ,Scenario relation,weak ties
46,location_1:Smart_Speaker_Q8_feat3,26.52,location_1,Smart_Speaker_Q8_feat3,What level of personalized communication does your Smart_Speaker provide while performing this task?,"Based on my current activities and surroundings it recommends additional/alternative actions to perform this task(e.g., recommend multiple ways of doing a task)",Scenario location,Home
47,location_1:Smart_Speaker_Q9_feat2,26.52,location_1,Smart_Speaker_Q9_feat2,How does your Smart_Speakerhelp you understand the features that you use to perform this task?  ,Through an interactive help/search menu that answers my questions on the features of the device as I use them,Scenario location,Home
344,Relationship_2:Smart_Speaker_Q2_feat5,26.52,Relationship_2,Smart_Speaker_Q2_feat5,"How do you multitask (i.e.,use other functionalities) on Smart_Speaker while executing this task?",Being able to do something else simultaneously on the device does not matter to me  for this task or is not provided by the device  ,Scenario relation,strong ties
262,Relationship_3:Smart_Speaker_Q11_feat1,26.52,Relationship_3,Smart_Speaker_Q11_feat1,Which of the following design components on your Smart_Speaker help you to develop an intuition before you decide how to complete this task?,"Information is presented in an optimized and adaptive manner so as to reduce the cognitive burden on me (e.g., by changing the layout of the menu according to how often menu items are used)    ",Scenario relation,weak ties
251,Relationship_3:Smart_Speaker_Q7_feat3,26.52,Relationship_3,Smart_Speaker_Q7_feat3,Which of the following features help you in reaching the desired level of trust to perform this task on Smart_Speaker?,I enables me to control how it executes this task  ,Scenario relation,weak ties
48,location_1:Q4_feat1,26.462443438914033,location_1,Q4_feat1,What aspects of mobility do you expect to have for performing this task? ,Being able to move around while performing the task   ,Scenario location,Home
49,location_1:Q3_feat3,25.362103645522065,location_1,Q3_feat3,Which aspects of any of the device(s) would make it easier for you to use them for this task?,"The device(s) should be able to display any task related information (e.g, response) on a screen  ",Scenario location,Home
268,Relationship_3:Smart_Speaker_Q3_feat2,22.1,Relationship_3,Smart_Speaker_Q3_feat2,Which  aspects of Smart_Speaker makes it easy for you to use it for this task?,The device provides few and simple steps to complete the task  ,Scenario relation,weak ties
274,Relationship_3:Smart_Speaker_Q11_feat2,22.1,Relationship_3,Smart_Speaker_Q11_feat2,Which of the following design components on your Smart_Speaker help you to develop an intuition before you decide how to complete this task?,"The design of icons, buttons and other tools is such that I can easily understand their purpose and how to use them.  ",Scenario relation,weak ties
149,Relationship_1:Smart_Speaker_Q5_feat1,22.1,Relationship_1,Smart_Speaker_Q5_feat1,What level of accuracy does your Smart_Speaker provide when executing the task?,It executes the task without any errors   ,Scenario relation,alone
348,Relationship_2:Smart_Speaker_Q4_feat3,22.1,Relationship_2,Smart_Speaker_Q4_feat3,Which aspects of mobility does Smart_Speaker  provide as you perform this task?,Mobility of this device does not matter to me  for this task or is not provided by the device,Scenario relation,strong ties
155,Relationship_1:Smart_Speaker_Q6_feat3,22.1,Relationship_1,Smart_Speaker_Q6_feat3,When does your Smart_Speaker give you an option of providing or changing any task related information to perform this task?,The device prompts me for input and validation throughout the entire execution of task.,Scenario relation,alone
156,Relationship_1:Smart_Speaker_Q3_feat2,22.1,Relationship_1,Smart_Speaker_Q3_feat2,Which  aspects of Smart_Speaker makes it easy for you to use it for this task?,The device provides few and simple steps to complete the task  ,Scenario relation,alone
354,Relationship_2:Smart_Speaker_Q5_feat2,22.1,Relationship_2,Smart_Speaker_Q5_feat2,What level of accuracy do you expect any of the device(s) to achieve for executing this task?,The device(s) can make errors sometimes  ,Scenario relation,strong ties
356,Relationship_2:Smart_Speaker_Q8_feat5,22.1,Relationship_2,Smart_Speaker_Q8_feat5,What level of personalized communication does your Smart_Speaker provide while performing this task?,Personalization is not essential to me in using this device to perform this task or is not provided by the device  ,Scenario relation,strong ties
370,Relationship_2:Smart_Speaker_Q2_feat2,22.1,Relationship_2,Smart_Speaker_Q2_feat2,"How do you multitask (i.e.,use other functionalities) on Smart_Speaker while executing this task?",I use/view another application using voice-based input ,Scenario relation,strong ties
261,Relationship_3:Smart_Speaker_Q5_feat1,22.1,Relationship_3,Smart_Speaker_Q5_feat1,What level of accuracy does your Smart_Speaker provide when executing the task?,It executes the task without any errors   ,Scenario relation,weak ties
139,Relationship_1:Smart_Speaker_Q7_feat3,22.1,Relationship_1,Smart_Speaker_Q7_feat3,Which of the following features help you in reaching the desired level of trust to perform this task on Smart_Speaker?,I enables me to control how it executes this task  ,Scenario relation,alone
50,location_1:Smart_Speaker_Q11_feat2,22.1,location_1,Smart_Speaker_Q11_feat2,Which of the following design components on your Smart_Speaker help you to develop an intuition before you decide how to complete this task?,"The design of icons, buttons and other tools is such that I can easily understand their purpose and how to use them.  ",Scenario location,Home
137,Relationship_1:Q9_feat4,18.416821932392864,Relationship_1,Q9_feat4,Which of the following do you expect to have in any of your device(s) to help you understand the features as you use them to perform this task?,A voice assistant that can help me in understanding how to use appropriate features to perform the task  ,Scenario relation,alone
