,scenario,count,,scenario,
78,"Suppose you want to listen to some audio when you are at home with people you are close to (e.g., friends, family members).",6,,,
79,"Suppose you are alone at home, you want to take a break from studying/working so you decide to play an online/digital game.",6,,,
80,"Suppose you have planned to meet a friend next week and you want to put this on your calendar when you are surrounded by people you know (e.g., acquaintances, colleagues) at your home.",6,,,
81,"Suppose you want to a send a text message when you are surrounded with people you are close to (e.g., friends, family members) at your home.",6,,,
82,Suppose you want to a view a text message when you are with a very close friend at a restaurant,6,,,
83,Suppose you want to a send an email when you are walking on a street.,6,,,
84,Suppose you want to set up a reminder when you are alone at your home.,6,,,
85,Suppose you have planned to meet a friend next week and you want to put this on your calendar when you are alone at Starbucks.,6,,,
86,"Suppose you are at a park, you have just read a book you loved and now you want to write a review for it to share with people you are close to (e.g., friends, family members)",6,,,
87,Suppose you want to browse internet when you are with your close friends at a restaurant.,6,,,
88,Suppose you are at sitting at Starbucks and you want to play a digital/online game.,6,,,
89,Suppose you are at your gym and you want to track the amount of calories you have burnt your workout.,6,,,
90,"Suppose you are at home with people you are close to (e.g., friends, family members) when you realize today is the last day to pay one of your bills online.",6,,,
91,Suppose you want to take a click a photo when you are at Starbucks.,6,,,
92,"Suppose you want to control some devices/appliances (e.g., smart lights) when you are at home with people you are close to (e.g., friends, family members)",6,,,
93,Suppose you want to a send a text message when you are alone at a street.,6,,,
94,Suppose you want to a send an email when you are with a very close friend at a restaurant,6,,,
95,Suppose you want to watch some video when you are alone at Starbucks.,5,,,
96,"Suppose you want to a send a text message when you are surrounded by people you know (e.g., acquaintances, colleagues) at a restaurant.",5,,,
97,"Suppose you want to set up a reminder when you with people you know (e.g., acquaintances, colleagues) at a park.",5,,,
98,Suppose you want to read a digital document when you are at Starbucks surrounded with your close friends.,5,,,
99,Suppose you want to a send a text message when you are with a very close friend at a restaurant,5,,,
100,"Suppose you want to a send an email when you are surrounded by people you know (e.g., acquaintances, colleagues) at a restaurant.",5,,,
101,"Suppose you want to read a digital document) when you are at home with people you know (e.g., acquaintances, colleagues).",5,,,
102,"Suppose you want to set up a reminder about something when you are with people you know (e.g., acquaintances, colleagues) at Starbucks.",5,,,
103,Suppose you have planned to meet a friend next week and you want to put this on your calendar when you are with a very close friend at a park.,5,,,
104,Suppose you want to call your mother for sharing an important update about your life when you are alone at a park,5,,,
105,Suppose you want to a send a text message when you are walking with a very close friend on a street,5,,,
106,"Suppose you want to call your mother for sharing an important update about your life when you with people you know (e.g., acquaintances, colleagues) at a park",5,,,
107,Suppose you want to find a route to home while walking on a street.,5,,,
108,"Suppose you have planned to meet a friend next week and you want to put this on your calendar when you are surrounded with people you are close to (e.g., friends, family members) at your home.",5,,,
109,Suppose you are at Starbucks with your close friends and you realize today is the last day to pay one of your bills online.,5,,,
110,"Suppose you want to call your mother for sharing an important update about your life when you are surrounded by people you know (e.g., acquaintances, colleagues) at your home.",5,,,
111,Suppose you want to check your social media when you are alone in a park.,5,,,
112,Suppose you want to a send an email when you are at Starbucks.,4,,,
113,Suppose you are at sitting in a park and you want to play a digital/online game.,4,,,
114,"Suppose you want to purchase something online when you are with people you know (e.g., acquaintances, colleagues) at your home.",4,,,
115,"Suppose you want to purchase something online when you are with people you are close to (e.g., friends, family members).",4,,,
116,"Suppose you want control some devices/appliances (e.g., smart lights) when you are with people you know (e.g., acquaintances, colleagues).",4,,,
117,Suppose you are at sitting at Starbucks and you want to play a digital/online game with some close friends.,4,,,
118,"Suppose you want to purchase something (e.g., book, household items) online when you are with people you know (e.g., acquaintances, colleagues) at Starbucks.",4,,,
119,"Suppose you want to listen to some audio when you are with people you know (e.g., acquaintances, colleagues) in a park.",4,,,
120,"Suppose you want to a view a text message when you are surrounded by people you know (e.g., acquaintances, colleagues) at a restaurant.",4,,,
121,"Suppose you want to find a route to a coffee shop when you are at home with people you are close to (e.g., friends, family members)",4,,,
122,Suppose you want to watch some video when you are alone at your home.,4,,,
123,Suppose you want to find a route to home when you are at Starbucks with your close friends.,4,,,
124,Suppose you want to listen to some audio when you are alone at your home.,4,,,
125,Suppose you want to a view a text message when you are alone at home,4,,,
126,Suppose you are on a short vacation alone and you want to take a picture in front of an iconic monument.,4,,,
127,"Suppose you have planned to meet a friend next week and you want put this on your calendar when you with people you know (e.g., acquaintances, colleagues) at a park",4,,,
128,Suppose you want to take a click a photo when you are alone at home.,4,,,
129,"Suppose you are alone at home, you want to take a break from studying/working so you decide to play a video game with some with some people you know (e.g., acquaintances, colleagues).",3,,,
130,"Suppose you want to purchase something online when you are with people you are close to (e.g., friends, family members) at home.",3,,,
131,Suppose you want to find a route to a coffee shop when you are alone at home.,3,,,
132,"Suppose you want to set up a reminder when you are at home with people you are close to (e.g., friends, family members).",3,,,
133,"Suppose you want to watch some video when you are with people you know (e.g., acquaintances, colleagues) at your home.",3,,,
134,Suppose you want to listen to some audio when you are alone in a park.,3,,,
135,"Suppose you want to watch some video when you are at home with people you are close to (e.g., friends, family members)",3,,,
136,Suppose you want to watch some video when you are alone in a park.,3,,,
137,"Suppose you want to purchase something (e.g., book, household items) online when you are with your close friends at a park.",3,,,
138,Suppose you want to set up a reminder about something when you are at Starbucks with close friends.,2,,,
139,Suppose you have planned to meet a friend next week and you want to put this on your calendar when you are alone at a park,2,,,
140,Suppose you want to find a route to home when you are alone at Starbucks.,2,,,
141,Suppose you want to listen to some audio when you are alone at Starbucks.,2,,,
142,"Suppose you want to browse the internet when you are at home with people you are close to (e.g., friends, family members)",2,,,
143,no_values,1,,,
