,features,Question,Answer option,Importance
93,Laptop_Q1_feat3,Which of the following type of interactions do you use while executing a command on Laptop,Text-based interaction with a digital pen/Stylus  ,0
94,Laptop_Q1_feat5,Which of the following type of interactions do you use while executing a command on Laptop,Text-based interaction using virtual/digital keyboard on a screen  ,0
95,Laptop_Q2_feat2,"How do you multitask (i.e.,use other functionalities) on Laptop while executing this task?",I use/view another application using voice-based input ,0
96,Laptop_Q2_feat3,"How do you multitask (i.e.,use other functionalities) on Laptop while executing this task?","The modality of input (text- or voice-based) does not matter, as I am able to use another application simultaneously  ",0
97,Laptop_Q3_feat4,Which  aspects of Laptop makes it easy for you to use it for this task?,I can hear any task related information as an audio response from the device  ,0
98,Laptop_Q3_feat6,Which  aspects of Laptop makes it easy for you to use it for this task?,Ease of use does not hold any relevance for me while using this device  for this task or is not provided by the device  ,0
99,Laptop_Q5_feat4,What level of accuracy does your Laptop provide when executing the task,"The device makes some errors only when multitasking (e.g., while listening to music on voice-assistant it might not completely understand another command)  ",0
100,Laptop_Q5_feat6,What level of accuracy does your Laptop provide when executing the task,Level of  accuracy does not matter to me while using this device for this task or is not provided by the device  ,0
101,Laptop_Q6_feat1,When does your Laptop give you an option of providing or changing any task related information to perform this task?,Only at the beginning for providing first set of commands or information for performing the task,0
102,Laptop_Q6_feat2,When does your Laptop give you an option of providing or changing any task related information to perform this task?,The device prompts me to provide additional information when any instructions are unclear or missing.,0
103,Laptop_Q6_feat3,When does your Laptop give you an option of providing or changing any task related information to perform this task?,The device prompts me for input and validation throughout the entire execution of task.,0
104,Laptop_Q6_feat4,When does your Laptop give you an option of providing or changing any task related information to perform this task?,Having such options from the device while performing are not essential to me while using this device or is not provided by the device.  ,0
105,Laptop_Q7_feat1,Which of the following features help you in reaching the desired level of trust to perform this task on Laptop?,It enables me to define who has access to my information,0
106,Laptop_Q7_feat5,Which of the following features help you in reaching the desired level of trust to perform this task on Laptop?,Building trust is not essential for using this device for this task or is not provided by the device ,0
107,Laptop_Q8_feat1,What level of personalized communication does your Laptop provide while performing this task?,The device communicates with me through informal/human-like responses or notifications,0
108,Laptop_Q8_feat3,What level of personalized communication does your Laptop provide while performing this task?,"Based on my current activities and surroundings it recommends additional/alternative actions to perform this task(e.g., recommend multiple ways of doing a task)",0
109,Laptop_Q9_feat1,How does your Laptop help you understand the features that you use to perform this task,Through a tooltip that explains the functionality of a widget on the device.,0
110,Laptop_Q9_feat4,How does your Laptop help you understand the features that you use to perform this task,Through a voice assistant that helps me to understand how to use its features to perform the task ,0
111,Laptop_Q10_feat1,How does Laptop provide feedback or respond to your actions as you execute the task,"Through lights, vibrations   ",0
112,Laptop_Q10_feat4,How does Laptop provide feedback or respond to your actions as you execute the task,Notifications/Reminders on other synced/connected devices  ,0
113,Laptop_Q11_feat3,Which of the following design components on your Laptop help you to develop an intuition before you decide how to complete this task,As the device does not have a screen it provides me relevant information through voice-based instructions  ,0
114,Laptop_Q11_feat5,Which of the following design components on your Laptop help you to develop an intuition before you decide how to complete this task,I do not need the device to help me in deciding the best way to perform a task or is not provided by the device  ,0
115,Laptop_Q12_feat2,Which of these maintenance features in Laptop affect you as you perform this task on it,Need of updating any software while/before performing the task  ,0
116,Laptop_Q12_feat3,Which of these maintenance features in Laptop affect you as you perform this task on it,Ease of recovery of data and task related information in case of any hardware/software malfunction. ,0
117,Laptop_Q13_feat1,Which of the additional artifacts do you connect/download on your Laptop to execute the task,"Physical hardware (e.g., keyboard, screen, headphones, speakers)  ",0
