,features,Importance,Question,Answer option
27,Q4_feat3,0.003142627887379797,What aspects of mobility do you expect to have for performing this task?,Mobility of the device does not matter to me in this task
28,Q1_feat4,0.003027427486486182,Which of the following type of interactions would you like to use to perform this task?,Text-based interaction using physical keyboard 
29,Q6_feat1,0.0029786457816992178,When would you desire to have an option of providing or changing any task related information on any of your device(s) while performing this task?,Only at the beginning for providing first set of commands or information  
30,Relationship_2,0.00292937268949436,Scenario relation,strong ties
31,Q13_feat1,0.002829548834233084,Which of the following would you like to be able to additionally connect/download to/on your device(s) to execute the task? ,"Physical hardware (e.g., keyboard, screen, headphones, speakers, storage space)  "
32,Q13_feat4,0.002615351361553059,Which of the following would you like to be able to additionally connect/download to/on your device(s) to execute the task? ,The ability to connect/download an additional things does not matter to me  for this task.
33,Q2_feat3,0.00259425135467772,"How would you like to multitask (i.e., use/view other applications) on any device of your choice while executing this task?",The modality of input (text- or voice-based) does not matter as long as I am able to use another application  
34,Q13_feat2,0.002486279927622145,Which of the following would you like to be able to additionally connect/download to/on your device(s) to execute the task? ,"Software application (e.g, apps on your cellphone to visualize task related information from activity trackers, plugins)  "
35,Q8_feat5,0.002338558227297909,What sort of personalization or customizability do you expect to have from any your device(s) while performing this task?,Personalization or customizability  is not essential for me performing this task on any device
36,Q5_feat1,0.002322093752098677,What level of accuracy do you expect any of the device(s) to achieve for executing this task?,It should be able to execute the task without any errors   
37,Q3_feat1,0.0022821136139509718,Which aspects of any of the device(s) would make it easier for you to use them for this task?,It should be easy to find and understand the relevant features of the device(s) to complete the given task.  
38,Q8_feat1,0.002235987442665432,What sort of personalization or customizability do you expect to have from any your device(s) while performing this task?,Device(s) should be able to communicate with me through informal/human-like responses or notifications  
39,Tablet_Q10_feat6,0.002209391487462377,How does Tablet provide feedback or respond to your actions as you execute the task?,"As the feedback provided by my device is unambiguous and easy to follow, mode of feedback does not matter to me. "
40,Q1_feat7,0.00219237854757864,Which of the following type of interactions would you like to use to perform this task?,The input modality does not matter to me  
41,Tablet_Q6_feat4,0.002190385704457052,When does your Tablet give you an option of providing or changing any task related information to perform this task?,Having such options from the device while performing are not essential to me while using this device or is not provided by the device.  
42,Tablet_Q9_feat1,0.002190385704457052,How does your Tablet help you understand the features that you use to perform this task,Through a tooltip that explains the functionality of a widget on the device.
43,Q2_feat2,0.00212349671852122,"How would you like to multitask (i.e., use/view other applications) on any device of your choice while executing this task?",Use/view another application through voice-based input 
44,Q12_feat2,0.002120115429163059,Which of these maintenance features affect your decision to use any of the device(s) to perform this task?,Need and effect of any software updates while/before performing the task  
45,location_3,0.0021096494964859018,Scenario location,"Public (park, street etc)"
46,Tablet_Q2_feat2,0.0020989376472545273,"How do you multitask (i.e.,use other functionalities) on Tablet while executing this task?",I use/view another application using voice-based input 
47,Q9_feat6,0.0020817310451701787,Which of the following do you expect to have in any of your device(s) to help you understand the features as you use them to perform this task?,The level of assistance provided by a  device to help me understand its features while I am executing this task does not matter. 
48,Q4_feat1,0.002049611561235434,What aspects of mobility do you expect to have for performing this task? ,Being able to move around while performing the task   
49,Q11_feat1,0.002043441989298169,Which of the following design features would help you develop an intuition before you decide how to complete this task on any of the  device(s)?,"Presentation of information is in an optimized and adaptive manner so as to reduce the cognitive burden on me (e.g., by changing the layout of the menu according to how often menu items are used )  "
50,Q7_feat2,0.0019892435808466355,Which of the following features would help you in developing trust on any of your device(s) to be able to perform this task on it ? ,"To be able to control where my personal information is stored (e.g., solely on the device(s))"
51,Relationship_3,0.001854389538289606,Scenario relation,weak ties
52,Q11_feat2,0.001767002081887578,Which of the following design features would help you develop an intuition before you decide how to complete this task on any of the  device(s)?,"Icons, buttons and other tools should be designed in such a way that I can easily understand their purpose and how to use them"
53,Q10_feat1,0.0016455936225650242,How would you expect any of your  device(s)  to provide feedback or respond to your actions as you perform this task?,"Through lights, vibrations  "
54,Q7_feat3,0.001607920821473501,Which of the following features would help you in developing trust on any of your device(s) to be able to perform this task on it ? ,I should be able to control how device executes a task  
55,Q9_feat3,0.0016031513669709366,Which of the following do you expect to have in any of your device(s) to help you understand the features as you use them to perform this task?,A graphic icon that conveys the meaning of a widget on the device   
56,Q7_feat1,0.001593671886307981,Which of the following features would help you in developing trust on any of your device(s) to be able to perform this task on it ? ,To be able to define who has access to my information  
57,Q10_feat3,0.0015665912714171715,How would you expect any of your  device(s)  to provide feedback or respond to your actions as you perform this task?,Through text notifications/responses on screen of any of the devices
58,Q9_feat1,0.001540119866254499,Which of the following do you expect to have in any of your device(s) to help you understand the features as you use them to perform this task?,A tooltip that explains the functionality of a widget on the device  
59,Q6_feat2,0.0014929011865544449,When would you desire to have an option of providing or changing any task related information on any of your device(s) while performing this task?,Device(s) should prompt me for providing more information when instructions are unclear or missing.  
60,Q6_feat3,0.0014730931279230992,When would you desire to have an option of providing or changing any task related information on any of your device(s) while performing this task?,Device(s) should give me option of providing or changing any information through the entire execution of the task.  
61,Q3_feat4,0.001444086447903241,Which aspects of any of the device(s) would make it easier for you to use them for this task?,The device(s) should be able to provide any task related information as an audio response. 
62,Q9_feat4,0.0013575283762328355,Which of the following do you expect to have in any of your device(s) to help you understand the features as you use them to perform this task?,A voice assistant that can help me in understanding how to use appropriate features to perform the task  
63,Q9_feat2,0.0013348695298273422,Which of the following do you expect to have in any of your device(s) to help you understand the features as you use them to perform this task?,An interactive help/search menu that can answer my questions about the features of the device as I use them   
64,Q8_feat2,0.0013288876134171955,What sort of personalization or customizability do you expect to have from any your device(s) while performing this task?,"Customizability of features based on current context and past interactions (e.g., sorting notifications by relevance)   "
65,Q1_feat5,0.001316989674353252,Which of the following type of interactions would you like to use to perform this task?,Text-based interaction using virtual/digital keyboard on a screen 
66,Q5_feat4,0.0011303853907806318,What level of accuracy do you expect any of the device(s) to achieve for executing this task?,"The device(s) can make some errors only when multitasking (e.g., while listening to music on voice-assistant it might not completely understand another command) "
67,Tablet_Q10_feat2,0.0011191677403739552,How does Tablet provide feedback or respond to your actions as you execute the task?,Through audio/voice based notifications/responses
68,Tablet_Q13_feat1,0.0011094779763880355,Which of the additional artifacts do you connect/download on your Tablet to execute the task,"Physical hardware (e.g., keyboard, screen, headphones, speakers)  "
69,Q5_feat3,0.0010974797752669704,What level of accuracy do you expect any of the device(s) to achieve for executing this task?,"The device(s) can make some errors, but it should try to correct itself by learning from my previous actions or more interactions with me.  "
70,Tablet_Q9_feat4,0.0010628662979714468,How does your Tablet help you understand the features that you use to perform this task,Through a voice assistant that helps me to understand how to use its features to perform the task 
71,Relationship_1,0.0010439179141469221,Scenario relation,alone
72,Q11_feat3,0.0010115743035590363,Which of the following design features would help you develop an intuition before you decide how to complete this task on any of the  device(s)?,"In case of no screen, the device(s) should provide me needed information as voice-based instructions"
73,Q11_feat5,0.0008893585111852475,Which of the following design features would help you develop an intuition before you decide how to complete this task on any of the  device(s)?,Design components in a device to help me develop an intuition of how to perform this task does not matter to me  
74,Q8_feat3,0.0007832213401939722,What sort of personalization or customizability do you expect to have from any your device(s) while performing this task?,"Based on my current activities and surroundings device(s) should recommend  additional/alternative actions to perform this task(e.g., recommend multiple ways of doing a task) "
75,Q1_feat3,0.0007584479636617937,Which of the following type of interactions would you like to use to perform this task?,Text-based interaction with a digital pen/Stylus  
76,Q12_feat3,0.0006478464775805352,Which of these maintenance features affect your decision to use any of the device(s) to perform this task?,Ease of recovery of data and task related information in case of any hardware/software malfunction  
77,Q10_feat7,0.0006379498364231192,How would you expect any of your  device(s)  to provide feedback or respond to your actions as you perform this task?,The way in which a device provides feedback or responds to my actions does not matter to me  for this task
78,Q5_feat2,0.0006089521165857046,";""> What level of accuracy do you expect any of the device(s) to achieve for executing this task?",The device(s) can make errors sometimes  
79,Q2_feat5,0.0005538929837938736,"How would you like to multitask (i.e., use/view other applications) on any device of your choice while executing this task?",I would not like to multitask while performing this tas
80,Q1_feat1,0.0004311831050207222,Which of the following type of interactions would you like to use to perform this task?,Voice-based interaction  
81,Q1_feat2,0.0002986736797486515,Which of the following type of interactions would you like to use to perform this task?,"Touch-based interaction (e.g, through scrolling, tapping)  "
82,Q10_feat2,0.0002783781104391793,How would you expect any of your  device(s)  to provide feedback or respond to your actions as you perform this task?,Through audio/voice based notifications/responses   
83,Q10_feat4,0.00027470945952035584,How would you expect any of your  device(s)  to provide feedback or respond to your actions as you perform this task?,Through notifications/reminders on other synced/connected device  
84,Q10_feat6,0.000228091954733916,How would you expect any of your  device(s)  to provide feedback or respond to your actions as you perform this task?,"As long as feedback is unambiguous and easy to follow, mode of feedback does not matter to me.   "
85,Q3_feat3,0.00018336779824142802,Which aspects of any of the device(s) would make it easier for you to use them for this task?,"The device(s) should be able to display any task related information (e.g, response) on a screen  "
86,Q12_feat5,0.0001109100579082926,Which of these maintenance features affect your decision to use any of the device(s) to perform this task?,vThe maintenance features do not matter to me  for this task.
87,location_2,3.5776868538695416e-05,Scenario location,"Semi private places (resturants, coffee shop etc)"
88,Q3_feat6,0.0,Which aspects of any of the device(s) would make it easier for you to use them for this task?,Ease of use does not hold any relevance for me with respect to this task  
89,Q5_feat6,0.0,What level of accuracy do you expect any of the device(s) to achieve for executing this task?,Level of accuracy does not matter to me while performing this task  
90,Tablet_Q1_feat1,0.0,Which of the following type of interactions do you use while executing a command on Tablet,Voice-based interaction  
91,Tablet_Q1_feat4,0.0,Which of the following type of interactions do you use while executing a command on Tablet?,Text-based interaction using physical keyboard  
92,Tablet_Q2_feat3,0.0,"How do you multitask (i.e.,use other functionalities) on Tablet while executing this task?","The modality of input (text- or voice-based) does not matter, as I am able to use another application simultaneously  "
93,Tablet_Q3_feat1,0.0,Which  aspects of Tablet makes it easy for you to use it for this task?,It is easy to find and understand the relevant features of the device to complete this task.
94,Tablet_Q3_feat4,0.0,Which  aspects of Tablet makes it easy for you to use it for this task?,I can hear any task related information as an audio response from the device  
95,Tablet_Q3_feat6,0.0,Which  aspects of Tablet makes it easy for you to use it for this task?,Ease of use does not hold any relevance for me while using this device  for this task or is not provided by the device  
96,Tablet_Q4_feat3,0.0,Which aspects of mobility does Tablet  provide as you perform this task?,Mobility of this device does not matter to me  for this task or is not provided by the device
97,Tablet_Q5_feat2,0.0,What level of accuracy do you expect any of the device(s) to achieve for executing this task?,The device(s) can make errors sometimes  
98,Tablet_Q5_feat3,0.0,What level of accuracy does your Tablet provide when executing the task?,"The device makes some errors, but it tries to correct itself by learning from my previous actions or more interactions with me.  "
99,Tablet_Q5_feat4,0.0,What level of accuracy does your Tablet provide when executing the task,"The device makes some errors only when multitasking (e.g., while listening to music on voice-assistant it might not completely understand another command)  "
100,Tablet_Q5_feat6,0.0,What level of accuracy does your Tablet provide when executing the task,Level of  accuracy does not matter to me while using this device for this task or is not provided by the device  
101,Tablet_Q6_feat1,0.0,When does your Tablet give you an option of providing or changing any task related information to perform this task?,Only at the beginning for providing first set of commands or information for performing the task
102,Tablet_Q6_feat2,0.0,When does your Tablet give you an option of providing or changing any task related information to perform this task?,The device prompts me to provide additional information when any instructions are unclear or missing.
103,Tablet_Q6_feat3,0.0,When does your Tablet give you an option of providing or changing any task related information to perform this task?,The device prompts me for input and validation throughout the entire execution of task.
104,Tablet_Q7_feat1,0.0,Which of the following features help you in reaching the desired level of trust to perform this task on Tablet?,It enables me to define who has access to my information
105,Tablet_Q7_feat2,0.0,Which of the following features help you in reaching the desired level of trust to perform this task on Tablet?,"It enables me to control where my personal information is stored (e.g., solely on the device)"
106,Tablet_Q7_feat3,0.0,Which of the following features help you in reaching the desired level of trust to perform this task on Tablet?,I enables me to control how it executes this task  
107,Tablet_Q8_feat1,0.0,What level of personalized communication does your Tablet provide while performing this task?,The device communicates with me through informal/human-like responses or notifications
108,Tablet_Q8_feat3,0.0,What level of personalized communication does your Tablet provide while performing this task?,"Based on my current activities and surroundings it recommends additional/alternative actions to perform this task(e.g., recommend multiple ways of doing a task)"
109,Tablet_Q9_feat2,0.0,How does your Tablethelp you understand the features that you use to perform this task?  ,Through an interactive help/search menu that answers my questions on the features of the device as I use them
110,Tablet_Q9_feat6,0.0,How does your Tablet help you understand the features that you use to perform this task?  ,The assistance provided by the device to understand its features does not matter as I  use it for this task or is not provided by the device  
111,Tablet_Q10_feat1,0.0,How does Tablet provide feedback or respond to your actions as you execute the task,"Through lights, vibrations   "
112,Tablet_Q10_feat4,0.0,How does Tablet provide feedback or respond to your actions as you execute the task,Notifications/Reminders on other synced/connected devices  
113,Tablet_Q10_feat7,0.0,How does Tablet provide feedback or respond to your actions as you execute the task?,The way in which this device provides feedback or responds to my actions does not affect the way I use it  for this task or is not provided by the device  
114,Tablet_Q11_feat3,0.0,Which of the following design components on your Tablet help you to develop an intuition before you decide how to complete this task,As the device does not have a screen it provides me relevant information through voice-based instructions  
115,Tablet_Q12_feat1,0.0,Which of these maintenance features in Tablet affect you as you perform this task on it?,Amount of battery life and impact of performing the task on battery life   
116,Tablet_Q12_feat2,0.0,Which of these maintenance features in Tablet affect you as you perform this task on it,Need of updating any software while/before performing the task  
117,Tablet_Q12_feat3,0.0,Which of these maintenance features in Tablet affect you as you perform this task on it,Ease of recovery of data and task related information in case of any hardware/software malfunction. 
