,features,Importance,Question,Answer option
62,Q3_feat2,0.00027798650671254863,Which aspects of any of the device(s) would make it easier for you to use them for this task?,The device(s) should provide few and simple steps to complete the task.
63,Q13_feat2,0.00020900214018191581,Which of the following would you like to be able to additionally connect/download to/on your device(s) to execute the task? ,"Software application (e.g, apps on your cellphone to visualize task related information from activity trackers, plugins)  "
64,Q11_feat3,0.00018367712317845846,Which of the following design features would help you develop an intuition before you decide how to complete this task on any of the  device(s)?,"In case of no screen, the device(s) should provide me needed information as voice-based instructions"
65,Q3_feat1,0.00014630149812734094,Which aspects of any of the device(s) would make it easier for you to use them for this task?,It should be easy to find and understand the relevant features of the device(s) to complete the given task.  
66,Q12_feat5,0.00013266574596162628,Which of these maintenance features affect your decision to use any of the device(s) to perform this task?,vThe maintenance features do not matter to me  for this task.
67,Q10_feat1,0.00011693191633707163,How would you expect any of your  device(s)  to provide feedback or respond to your actions as you perform this task?,"Through lights, vibrations  "
68,location_1,0.00011529327140356668,Scenario location,Home
69,Q6_feat3,9.288984008085164e-05,When would you desire to have an option of providing or changing any task related information on any of your device(s) while performing this task?,Device(s) should give me option of providing or changing any information through the entire execution of the task.  
70,Q7_feat2,8.127861007074482e-05,Which of the following features would help you in developing trust on any of your device(s) to be able to perform this task on it ? ,"To be able to control where my personal information is stored (e.g., solely on the device(s))"
71,Q5_feat2,6.502288805659594e-05,";""> What level of accuracy do you expect any of the device(s) to achieve for executing this task?",The device(s) can make errors sometimes  
72,Q9_feat6,1.0711156016516336e-05,Which of the following do you expect to have in any of your device(s) to help you understand the features as you use them to perform this task?,The level of assistance provided by a  device to help me understand its features while I am executing this task does not matter. 
73,Q1_feat7,0.0,Which of the following type of interactions would you like to use to perform this task?,The input modality does not matter to me  
74,Q2_feat1,0.0,"How would you like to multitask (i.e., use/view other applications) on any device of your choice while executing this task?",Use/view another application through touch-based input   
75,Q3_feat6,0.0,Which aspects of any of the device(s) would make it easier for you to use them for this task?,Ease of use does not hold any relevance for me with respect to this task  
76,Q4_feat1,0.0,What aspects of mobility do you expect to have for performing this task? ,Being able to move around while performing the task   
77,Q5_feat6,0.0,What level of accuracy do you expect any of the device(s) to achieve for executing this task?,Level of accuracy does not matter to me while performing this task  
78,Q6_feat2,0.0,When would you desire to have an option of providing or changing any task related information on any of your device(s) while performing this task?,Device(s) should prompt me for providing more information when instructions are unclear or missing.  
79,Q7_feat3,0.0,Which of the following features would help you in developing trust on any of your device(s) to be able to perform this task on it ? ,I should be able to control how device executes a task  
80,Q9_feat3,0.0,Which of the following do you expect to have in any of your device(s) to help you understand the features as you use them to perform this task?,A graphic icon that conveys the meaning of a widget on the device   
81,Q10_feat3,0.0,How would you expect any of your  device(s)  to provide feedback or respond to your actions as you perform this task?,Through text notifications/responses on screen of any of the devices
82,Q10_feat7,0.0,How would you expect any of your  device(s)  to provide feedback or respond to your actions as you perform this task?,The way in which a device provides feedback or responds to my actions does not matter to me  for this task
83,Q11_feat1,0.0,Which of the following design features would help you develop an intuition before you decide how to complete this task on any of the  device(s)?,"Presentation of information is in an optimized and adaptive manner so as to reduce the cognitive burden on me (e.g., by changing the layout of the menu according to how often menu items are used )  "
84,Q11_feat2,0.0,Which of the following design features would help you develop an intuition before you decide how to complete this task on any of the  device(s)?,"Icons, buttons and other tools should be designed in such a way that I can easily understand their purpose and how to use them"
85,Q11_feat5,0.0,Which of the following design features would help you develop an intuition before you decide how to complete this task on any of the  device(s)?,Design components in a device to help me develop an intuition of how to perform this task does not matter to me  
86,Q13_feat1,0.0,Which of the following would you like to be able to additionally connect/download to/on your device(s) to execute the task? ,"Physical hardware (e.g., keyboard, screen, headphones, speakers, storage space)  "
87,Smart Watch_Q1_feat1,0.0,Which of the following type of interactions do you use while executing a command on Smart Watch,Voice-based interaction  
88,Smart Watch_Q1_feat3,0.0,Which of the following type of interactions do you use while executing a command on Smart Watch,Text-based interaction with a digital pen/Stylus  
89,Smart Watch_Q1_feat4,0.0,Which of the following type of interactions do you use while executing a command on Smart Watch?,Text-based interaction using physical keyboard  
90,Smart Watch_Q1_feat5,0.0,Which of the following type of interactions do you use while executing a command on Smart Watch,Text-based interaction using virtual/digital keyboard on a screen  
91,Smart Watch_Q1_feat7,0.0,Which of the following type of interactions do you use while executing a command on Smart Watch?,The input modality does not matter to me or is not provided by the device  
92,Smart Watch_Q2_feat1,0.0,"How do you multitask (i.e.,use other functionalities) on Smart Watch while executing this task?",I use/view another application using touch-based input
93,Smart Watch_Q2_feat2,0.0,"How do you multitask (i.e.,use other functionalities) on Smart Watch while executing this task?",I use/view another application using voice-based input 
94,Smart Watch_Q2_feat3,0.0,"How do you multitask (i.e.,use other functionalities) on Smart Watch while executing this task?","The modality of input (text- or voice-based) does not matter, as I am able to use another application simultaneously  "
95,Smart Watch_Q3_feat4,0.0,Which  aspects of Smart Watch makes it easy for you to use it for this task?,I can hear any task related information as an audio response from the device  
96,Smart Watch_Q3_feat6,0.0,Which  aspects of Smart Watch makes it easy for you to use it for this task?,Ease of use does not hold any relevance for me while using this device  for this task or is not provided by the device  
97,Smart Watch_Q5_feat2,0.0,What level of accuracy do you expect any of the device(s) to achieve for executing this task?,The device(s) can make errors sometimes  
98,Smart Watch_Q5_feat4,0.0,What level of accuracy does your Smart Watch provide when executing the task,"The device makes some errors only when multitasking (e.g., while listening to music on voice-assistant it might not completely understand another command)  "
99,Smart Watch_Q5_feat6,0.0,What level of accuracy does your Smart Watch provide when executing the task,Level of  accuracy does not matter to me while using this device for this task or is not provided by the device  
100,Smart Watch_Q6_feat2,0.0,When does your Smart Watch give you an option of providing or changing any task related information to perform this task?,The device prompts me to provide additional information when any instructions are unclear or missing.
101,Smart Watch_Q6_feat3,0.0,When does your Smart Watch give you an option of providing or changing any task related information to perform this task?,The device prompts me for input and validation throughout the entire execution of task.
102,Smart Watch_Q7_feat1,0.0,Which of the following features help you in reaching the desired level of trust to perform this task on Smart Watch?,It enables me to define who has access to my information
103,Smart Watch_Q7_feat2,0.0,Which of the following features help you in reaching the desired level of trust to perform this task on Smart Watch?,"It enables me to control where my personal information is stored (e.g., solely on the device)"
104,Smart Watch_Q7_feat3,0.0,Which of the following features help you in reaching the desired level of trust to perform this task on Smart Watch?,I enables me to control how it executes this task  
105,Smart Watch_Q8_feat1,0.0,What level of personalized communication does your Smart Watch provide while performing this task?,The device communicates with me through informal/human-like responses or notifications
106,Smart Watch_Q8_feat2,0.0,What level of personalized communication does your Smart Watch provide while performing this task?,"It customizes the features based on my current context and past interactions (e.g., sorting notifications by relevance)  "
107,Smart Watch_Q9_feat1,0.0,How does your Smart Watch help you understand the features that you use to perform this task,Through a tooltip that explains the functionality of a widget on the device.
108,Smart Watch_Q9_feat4,0.0,How does your Smart Watch help you understand the features that you use to perform this task,Through a voice assistant that helps me to understand how to use its features to perform the task 
109,Smart Watch_Q9_feat6,0.0,How does your Smart Watch help you understand the features that you use to perform this task?  ,The assistance provided by the device to understand its features does not matter as I  use it for this task or is not provided by the device  
110,Smart Watch_Q10_feat1,0.0,How does Smart Watch provide feedback or respond to your actions as you execute the task,"Through lights, vibrations   "
111,Smart Watch_Q10_feat4,0.0,How does Smart Watch provide feedback or respond to your actions as you execute the task,Notifications/Reminders on other synced/connected devices  
112,Smart Watch_Q10_feat6,0.0,How does Smart Watch provide feedback or respond to your actions as you execute the task?,"As the feedback provided by my device is unambiguous and easy to follow, mode of feedback does not matter to me. "
113,Smart Watch_Q10_feat7,0.0,How does Smart Watch provide feedback or respond to your actions as you execute the task?,The way in which this device provides feedback or responds to my actions does not affect the way I use it  for this task or is not provided by the device  
114,Smart Watch_Q11_feat1,0.0,Which of the following design components on your Smart Watch help you to develop an intuition before you decide how to complete this task?,"Information is presented in an optimized and adaptive manner so as to reduce the cognitive burden on me (e.g., by changing the layout of the menu according to how often menu items are used)    "
115,Smart Watch_Q11_feat3,0.0,Which of the following design components on your Smart Watch help you to develop an intuition before you decide how to complete this task,As the device does not have a screen it provides me relevant information through voice-based instructions  
116,Smart Watch_Q11_feat5,0.0,Which of the following design components on your Smart Watch help you to develop an intuition before you decide how to complete this task,I do not need the device to help me in deciding the best way to perform a task or is not provided by the device  
117,Smart Watch_Q12_feat3,0.0,Which of these maintenance features in Smart Watch affect you as you perform this task on it,Ease of recovery of data and task related information in case of any hardware/software malfunction. 
